song_name,artist,genre,tags,song_length_sec,tempo_bpm,popularity_score,time_of_day,is_explicit,user_liked_previous_song,skipped
Tuulella ei ole ystävää,Heikki Aarva,iskelma,"finnish, iskelma, laulelma, male vocalists, whistling",183,116.60273851725252,25,evening,1,0,0
In The Court Of The Mermaid,Friedemann,fingerstyle,"new age, 7 of 10 stars, melodic",232,105.6084114491478,39,afternoon,1,0,1
Cité-Soleil,Adrian Bouldt,belgian indie,,179,114.4168983589342,4,afternoon,0,1,1
Nightvision - RE:Floored,Glis,futurepop,,137,136.3312292955628,20,evening,0,1,0
You Don't Know Like I Know,The Shady Daze,deep classic garage rock,,144,148.26879458901914,77,night,1,1,0
"Scherzo, Op. 20 in B Minor",Josef Hofmann,classical piano,,211,143.14865292408282,3,morning,1,1,0
In The Blood,One King Down,vegan straight edge,hardcore,220,112.6672586732059,22,evening,1,0,0
Against the World,Brian Davis,modern country rock,,173,103.20573850066484,83,evening,0,1,0
My Help Comes from the Lord,The Museum,ccm,christian rock,235,122.11329370366806,14,morning,1,1,0
No Sabía,Luis Jara,chilean rock,,143,93.47340951655724,92,evening,1,0,0
Battle Scars,"Lupe Fiasco, Guy Sebastian",trap music,,207,124.84751571277172,7,morning,1,0,0
Coffee Blues,Mississippi John Hurt,louisiana blues,"blues, delta blues",161,117.78596120551995,40,night,0,0,0
Ratchet,Cyko,deep darkpsy,,183,113.00945247197636,18,afternoon,0,0,0
Celebrity Cannabilism,Creaming Jesus,gothic rock,,211,96.07945399099808,45,night,0,0,0
Alligator Man,Jimmy C. Newman,swamp pop,country,175,127.70400159854574,27,afternoon,0,1,0
Ghosts,Addergrbroeed,filthstep,"Drum and bass, electronic",194,112.00948740507133,90,morning,1,0,0
Ti Me Cuvas,Marijan Ban,klapa,,250,102.45124746434568,67,afternoon,0,1,0
男人情女人淚 (Love and Tear),謝莉婷 (Xie Liting),enka,,186,76.91606680077527,14,night,1,1,0
Address to a Haggis,Hugh MacDiarmid,poetry,,243,119.58727642424046,98,afternoon,1,0,0
Lead or Follow,"3 Feet Smaller, Ferris M.C.",vienna indie,,164,146.58377395004615,36,morning,1,1,1
Believe ’n Peace - ESC 1999,Times Three,classic eurovision,,231,144.91888821821806,0,afternoon,1,1,0
International Whore,Whore's Mascara,solipsynthm,,267,113.14355615120591,66,evening,0,0,0
Seek Bromance - Avicii’s Vocal Edit,Tim Berg,big room,,111,110.9668190945733,23,night,0,1,0
Aia,"Sunless '97, Palmistry",gauze pop,,178,127.03161384112536,26,evening,0,1,0
"Te Deum, Op. 11","Jeanne Demessieux, Pierre Labric",classical organ,,233,105.02421841217564,39,morning,0,1,0
She Moved Through The Fair,J.J. Sheridan,string folk,,201,124.526878497292,62,afternoon,0,0,1
Outrageous,Cowboy Prostitutes,deep melodic hard rock,,224,131.49120417577035,60,evening,1,0,0
Sexy Gal,"Kreesha Turner, T.O.K.",canadian pop,,185,138.4039983582646,35,evening,0,0,0
The Butterfly's Dreams,Freedom Spirit,downtempo fusion,,213,118.4976888528007,97,afternoon,0,1,0
Say Yes To This,Jill Scott,urban contemporary,,203,116.94489374734552,92,afternoon,0,0,0
Piano Textures: III,Bruno Sanfilippo,warm drone,,256,106.83026119865158,23,night,0,1,0
Yo Raat,Mukti & Revival,nepali,,220,107.5967946894021,23,evening,1,0,0
Neele Neele Ambar Par - Male Version,"Kalyanji-Anandji, Kishore Kumar",filmi,,223,116.6028166214771,3,evening,1,1,0
Nana del Canasto,Coro Los Canasteros,villancicos,,193,125.51048260224267,66,morning,1,0,0
Smooth Sailing: Piano & Cello Duet for Peaceful Dreams,"Mark Cosmo, Sacred-Mind",environmental,,190,133.70376939349873,33,night,1,0,0
Yodel-Adle-Eedle-Idle-Oo,Randy Quaid,movie tunes,"American film score composers, alan menken",192,107.95231573979484,56,morning,1,1,0
Psyren Song,Roboteknic,breaks,,225,142.39032853439284,48,evening,0,0,1
Scapegoat,The Agony Scene,metalcore,"metalcore, The Agony Scene - The Darkest Red, hardcore",193,115.93314598436147,86,morning,1,1,0
Malia,Cesare Siepi,opera,,221,119.67949058477346,52,evening,1,0,0
Light It Up,Blood Red Shoes,alt-indie rock,"indie rock, indie",293,108.79182481278264,22,evening,1,0,0
Music for the Sun King,Tonbruket,dark jazz,,244,83.63639609590587,68,morning,0,1,0
Tun Dupa Tun,Cristi Rizescu,manele,,196,133.26068094541574,94,morning,0,1,0
Mahi Igdalan Amerdeless,Hamid Ekawel,desert blues,"chanson africaine, gundaworld, gelatinoso, desert blues, fip",258,131.0526584563865,52,afternoon,1,1,0
Abadis Forest,Hyperduck Soundworks,deep chiptune,,193,115.7800866432268,61,afternoon,0,0,0
T-Bone Blues,T-Bone Walker,traditional blues,"blues, electric blues, Old Blues",128,121.00486075837308,40,afternoon,0,1,0
Wide Open,Mac Mall,g funk,"MAC MALL, crestside, Bay Area",169,127.73908826556148,56,evening,1,0,0
"Piano Concerto No. 4 in F Minor, Op. 82: I. Allegro patetico","Xaver Scharwenka, Francois Xavier Poizat, Poznan Philharmonic Orchestra, Łukasz Borowicz",classical period,,135,96.56181214670188,59,morning,0,1,0
Don't Bring Lulu,Nathan Glantz & His Orchestra,vintage jazz,"1920s, old jazz, 20s and 30s music",195,112.0642098398056,53,night,0,1,0
Traces Of Reality,Dødheimsgard,pagan black metal,"black metal, Avant-Garde",210,131.91397019432742,69,evening,0,1,0
A Nova Injecção,Quim Gouveia,portuguese pop,,277,101.18565865246126,100,night,1,1,1
"Stop, Look, Listen To Your Heart","Will Downing, Gerald Albright",funk,,223,124.40336898249944,56,morning,1,1,0
5 Finger Discount,Choking Victim,crack rock steady,"punk, ska punk",201,99.65127293064891,9,evening,1,1,0
C'è Un Paese Al Mondo,Maxophone,italian progressive rock,"Progressive rock, clarinete",243,126.9964497365029,39,night,0,0,0
El Sueno Imposible,Miguel Nacel,romantico,,121,119.46537776553777,6,night,1,1,0
No Other Love,Jo Stafford,cabaret,"jo stafford, female vocalists",219,95.77302276141737,37,afternoon,0,0,0
Ship Ya Outta Town,The Buccaneers,celtic punk,,240,137.47109031685756,84,afternoon,0,1,1
ai,Oval,experimental,,150,108.98112634802926,60,afternoon,0,1,0
Cuba Jala (feat. Berna Jam) - Salsa Version,"Javier Voltaje, Berna Jam",cubaton,,255,107.84621344478428,83,evening,1,1,0
Cheek to Cheek,Fred Astaire,cabaret,"swing, jazz",223,123.00853795846416,2,morning,1,0,0
"Fall Down, Play Dead",Hammer No More The Fingers,triangle indie,triangle rock,193,137.22956024143073,50,morning,1,0,0
รักคือ,Katie Pacific,thai indie,,235,104.76267271532404,85,afternoon,1,1,0
Walk Right In - Remastered 2002,Hosea Woods,jug band,,300,120.92519774771958,46,afternoon,0,0,0
I kdyby,Kofe-in,czech rock,,217,126.4322475049586,67,afternoon,1,1,0
Tune from the Film by Lana Gogoberidze: When Almonds Blossomed,"Giya Kancheli, Khatia Buniatishvili",avant-garde,,219,130.39658410894717,91,night,0,1,0
Sancta Maria,Bobby Prins,classic belgian pop,"Vlaams, oldies, 80s, belgian, male vocalists",191,122.64662332915836,75,afternoon,1,0,0
The Providence,Age Of Heaven,corrosion,,176,114.49458241375017,37,night,1,0,0
Take me S.I.M.,Lavantgarde,neo-synthpop,"synthpop, The Synthetic Music Collection, digital imported fm future synthpop",243,107.5861466902692,35,morning,1,0,0
Don't Want To Know If You Are Lonely,Hüsker Dü,uk post-punk,"post-punk, alternative rock",175,121.29215824569562,40,evening,0,0,0
Ramona,Velociraptor,deep australian indie,named according to stretchead,212,103.9179148202159,68,evening,0,1,0
Future Travel: Station Oaxaca,David Rosenboom,tzadik,Rooties David Moss Night Special Tagg Radio,190,76.17974274758089,12,evening,0,0,0
Destiny,"Markus Schulz, Delacey",trance,,229,126.548397062365,86,evening,0,0,0
Dancing Bear,Avalon Rising,geek folk,,223,133.55902261629294,57,night,0,1,0
Zouglou International,Didier Bilé,coupe decale,,251,84.55601346687243,49,night,1,0,0
Tijuca,Pacou,techno,"techno, minimal",189,104.85403942935092,29,afternoon,0,0,0
The Ugly Duckling,Rhymes For Reasons,nursery,,199,129.28731391507796,61,night,0,0,1
Punta Raton - Remix,Grupo Kazzabe,punta,,170,150.8624320456755,100,afternoon,0,0,0
Mother's Little Helper,"Polyphonic Size, Jean Jacques Burnel",minimal wave,,192,120.31190561513112,24,afternoon,0,1,0
Movin',Melissa Sandoval,deep pop r&b,,225,109.07995588156298,26,evening,1,1,0
Arena,Shant Plant,nordic house,,240,117.2565533834274,50,night,0,0,0
Jus Lyke Compton,DJ Quik,hardcore hip hop,"westcoast, old school hip-hop, rap",173,140.62314628722277,77,night,1,0,0
Ça c'est Paris,Jacques Ferchit,accordion,,244,110.31053731313196,56,afternoon,1,1,0
Run,Veorra,electronic trap,,264,108.0121199002462,46,afternoon,1,0,0
Love Is Dangerous,Dick4Dick,polish indie,"pop, electronic, Electroclash, polish, dance",226,112.75884716726952,99,morning,0,0,0
Life (432 Hz version),Giorgio Costantini,relaxative,,285,105.70007087611933,38,morning,1,0,0
Mouhammad Alix,Kery James,trap francais,"rap conscient, rap, french rap, rap francais",179,121.84005473992194,15,afternoon,0,0,0
Encore,Graham Nash,british folk,,160,144.3701768770434,21,morning,0,0,0
Azule,Ronan Portela,deep minimal techno,,138,124.84618909674045,84,morning,0,0,0
"Himmel, die Mutter!","Rita Streich, Gisela Litz, Marianne Schech",opera,,269,116.21469746810568,53,afternoon,0,0,0
Perfect Stranger (feat. Renee Neufville),"Seravince, Renee Neufville",broken beat,,236,115.62283096626685,20,afternoon,0,0,0
Ford V-8,Cedar Creek Sheik,vintage swing,,207,96.55213786955014,71,night,1,0,0
Rhymes With Fame,Small 23,triangle indie,,221,133.24664665720738,15,afternoon,1,1,1
A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,Grupo Fundo De Quintal,samba-enredo,,164,118.83244204480798,58,afternoon,0,1,0
"To, Čo Nás Spája",Zive kvety,slovak pop,,307,117.2928012961406,30,evening,1,1,0
La Borrachera,Los Inquietos Del Norte,regional mexican,"narco corridos, corrido pesado",215,167.8966135176729,41,night,0,0,0
Ride The Rainbow,Crystal Eyes,power metal,"Power metal, suitheism, fantasy metal",214,124.48129362548528,73,night,1,0,0
Black Tears,Tyler Bates,soundtrack,,239,108.72313424857224,31,night,1,1,0
青空,Acid Black Cherry,visual kei,,229,113.60463605691685,58,evening,1,0,0
"Cars, Escalators & Love",Kate Mosh,deep german indie,played by pandora,218,137.2266856379513,33,afternoon,1,1,0
Jappal,Aby Ndour,mbalax,,178,121.69905615806648,8,night,1,0,1
Te Doy una Canción,"Pablo Milanés, Silvio Rodríguez",bolero,,228,98.4258303252395,80,night,0,1,0
Ha Megfogom Az Ördögöt,Besh o droM,magyar,"Gypsy, balkan",285,133.78843401862804,10,morning,0,1,0
Space Jam,Denyo,german hip hop,,263,109.97783871691507,95,night,1,1,0
"Match, Op. 90","Michael Denhoff, The Raschèr Saxophone Orchestra, Bruce Weinberger",contemporary classical,,273,148.09946664326318,9,afternoon,0,0,0
Bockfotzngsicht,Chris Boettcher,kabarett,,189,136.20072098571973,85,afternoon,1,1,0
Should Of Been Mine,"Mister D, Nate Dogg, Sleepy Malo",chicano rap,,170,113.29017156511873,16,morning,0,0,0
Nas Nuvens,Jeito Moleque,axe,"Pagode, pagode sim e dai, Fodas",204,139.21524542602668,67,night,1,0,0
The Cost Of Living,David Singer,indie emo rock,,212,121.01783265791104,47,night,1,0,1
Punk Rock Song in E Minor (F**k You),Never Hit Again,fast melodic punk,,253,132.7916051268333,51,night,1,0,0
Violin Sonata No. 1: III. Funebre: Lento espressivo,"George Antheil, Mark Fewer, John Novacek",avant-garde,,142,127.27099225941711,24,evening,0,0,0
Estou Apaixonado (Estoy Enamorado),"Mikas Cabral, Danny L",kizomba,,271,107.3046501751369,20,night,0,0,1
Forever Starts Today,Tim Halperin,neo mellow,,203,110.34675251523808,100,afternoon,1,0,0
Locusts,Raw Data,horrorcore,,192,135.44941226371742,64,afternoon,1,1,0
Takeoff,"Cediv, Loch",tracestep,,169,114.97837001840188,62,evening,0,1,1
Juanita (2005 Version),Nick Mackenzie,traditional rock 'n roll,,143,113.94527305137004,88,evening,0,1,0
Here Comes The Sun (Cover Version),Sleepy Time Players,tribute,,242,105.6731613097597,50,night,0,0,1
Time Will Be Your Doctor,Tucky Buzzard,psychedelic blues-rock,"classic rock, rock",212,126.35398598390192,35,morning,0,0,0
Feel Like A Woman,Selfish Cunt,deep gothic post-punk,"nihil, punk, if this song were a girl i would fuck her or at least touch her tits",158,150.93787378864718,80,evening,0,0,0
Telemetry,"Audiotec, Zen Mechanics",full on,,158,103.9870062861859,87,evening,1,0,1
...Is Full of,Of Noah,atmospheric post-metal,,196,120.36329185009136,65,night,0,1,0
You Are Not Alone (Feat. Javi Nieves & Mar Amate),"Robert Ramirez, Javi Nieves, Mar Amate",electro latino,,276,141.18330833123144,14,night,1,0,0
F**k You (A Cappella),Awaken A Cappella,a cappella,,199,118.80537913131428,95,evening,1,1,0
Say Nothin,"Jubei, Flowdan",drumfunk,,149,126.785576943746,38,morning,0,0,1
Coloring,Kevin Garrett,indie anthem-folk,,200,104.0640970777968,69,evening,0,1,0
Bad,Dossa & Locuzzed,neurofunk,,199,126.42460645811472,0,night,1,0,0
Darkroom.,Prude,neo-industrial rock,,102,117.19283602493176,22,night,0,1,0
Tyytyväinen,Jonna,finnish pop,"finnish, Love",207,134.78594993519795,38,evening,1,0,0
Take Courage,"Lindy Conant, The Circuit Riders",christian uplift,,200,137.81079077347127,56,morning,0,1,0
The Star Wisdom of Bon,Entheogenic,psychedelic trance,,237,158.8434546302792,80,evening,0,0,0
Aşklambaç,Eflatun,deep turkish pop,,283,128.69449759820364,33,evening,0,1,0
11 Hours - Original Mix,"Heartik, Konstantin Yoodza",deep tech house,,255,124.8869447487325,40,night,1,1,0
Swallowed in the Sea,Jamie Ousley,jazz composition,,199,122.91576452366004,92,morning,0,0,0
All For You,Night Riots,indie pop,,165,114.70250560783968,72,afternoon,1,1,0
Roky Said,Dead Ghosts,indie garage rock,"Garage Rock, gr un, rock",312,125.07725765192536,12,morning,0,0,0
Distancia,El Tropicombo,cumbia,,212,115.56897884791456,69,evening,1,0,0
"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band,post-punk,"blues, psychedelic",210,122.5269146440442,5,evening,0,0,0
Glampyre,Saints Of Ruin,heavy gothic rock,"Gothic Metal, Gothic Rock",209,139.7639630341194,83,evening,1,1,0
Like A Bitch - Extended Mix,Zomboy,zapstep,,217,104.90186152080538,51,morning,1,1,0
Gone in the Morning - Tough Love Remix,"Donae'o, Carnao Beats",uk funky,,204,137.0981784169357,2,night,1,0,0
I Didn't Fall In Love With Your Hair (feat. Carolyn Dawn Johnson),"Brett Kissel, Carolyn Dawn Johnson",canadian country,,187,139.75672601009796,80,evening,1,0,0
"imakare,motokare feat. hiromi","Natural Radio Station, hiromi",j-reggae,,188,118.2289720951338,62,evening,1,1,0
Take 5,Irie Beats,traditional ska,dumpstep,208,88.17217651487108,48,morning,1,1,0
Take On Me - Grey's Anatomy Version,Aqualung,piano rock,,188,110.88267019358352,75,afternoon,0,1,1
Jimbathon,Jimbojangles,moombahton,,181,139.45491819841664,46,afternoon,1,0,0
"Afshari, Zarbi & Chaharmezrab","Reza Varzandeh, Amir Naser Eftetah",persian traditional,,214,119.65697906551677,54,night,1,0,0
Balkan Lowrider Anthem,Alaska In Winter,electronica,"alaska, soothing, late night, infinita tristeza, instrumental",199,105.01046651557634,63,night,1,0,0
Wuthering Heights,Hybrid Kids,zolo,I want back to the 80s,270,112.42837618157674,64,evening,0,0,1
See You in September,The Happenings,brill building pop,"60s, oldies",103,132.6093003975683,80,morning,0,0,0
The Things That I Used To Do - Single Version,Guitar Slim,acoustic blues,,253,128.2010035230207,66,evening,0,1,0
Neon Disco (Alex Gopher Remix),Disco Trash Music,electro trash,i am machine,259,116.41601851245458,89,night,1,0,0
Greenland,Emancipator,nu jazz,"trip-hop, chillout",127,114.49763382277968,14,morning,0,1,0
You Don't Know Me,Cottontown Chorus,barbershop,,196,114.12362776434269,99,morning,0,1,0
Headless,Hella,nintendocore,"math rock, noise rock",195,106.16384723252246,31,night,1,0,0
The Beatles Go Brass: From Me to You / Michelle / Lucy in the Skies With Diamonds / With a Little Help from My Friends / Something / Lady Madonna / Let It Be / All You Need Is Love,"Leyland Band, Garry E. Cutt",british brass band,,153,144.23063534204164,95,afternoon,1,1,0
Dans les bars de la ville,Une touche d'optimisme,french folk pop,,178,115.1651929618299,67,afternoon,0,0,1
O Rammariello,M. Nazionale,canzone napoletana,,165,138.25737781238246,17,morning,1,1,0
Speed Of The Sound Of Loneliness,Nanci Griffith,country rock,"folk, female vocalists",280,142.81974077883677,82,evening,1,0,1
Holocaust,Dragon Red,rap metalcore,"rapcore, Dig Jelly",247,134.97466347221942,42,afternoon,1,0,0
Aziz İstanbul,Münir Nurettin Selçuk,turkish classical,,260,113.52569530922928,34,evening,1,1,0
Breakthrough,Adam Hicks,teen pop,fqb gif,238,126.05595135504916,77,afternoon,0,0,0
Valkyrie (feat. Laura Brehm),"Varien, Laura Brehm",catstep,,164,119.63706590413626,57,afternoon,1,1,0
It's Alright,Choker Campbell,deep motown,,189,106.44447208904808,32,evening,0,0,0
Ain't Gonna Be Your Lowdown Dog No More,Piano Red,jump blues,,229,124.86538922582405,13,night,0,0,0
1000 År,"Ankerstjerne & Rasmus Seebach, Ankerstjerne, Rasmus Seebach",danish pop,,161,102.31440313260296,33,afternoon,0,0,0
Moonlight Waltz,Theatres Des Vampires,italian metal,"Gothic Metal, Vampiric Metal",238,137.81519082692347,60,afternoon,0,1,0
Silver Cage,Art Forland,organic ambient,,200,113.0307405405241,3,evening,1,1,0
X28 - Original mix,Vegim,dark minimal techno,,195,123.0173948380926,87,night,1,0,0
Upper East Side,Experimental Aircraft,shoegaze,"rock, indie",238,124.24931807319211,58,afternoon,1,1,0
Infinite War Thirst,Hammer Horde,folk metal,,227,116.11642539443883,28,afternoon,0,0,0
Paloma negra,Lola Beltrán,bolero,"latin, female vocalists",195,128.80040702212912,82,night,0,1,0
Kom Och Ta Mig,Brandsta City Släckers,swedish eurodance,"preselection, Sweden, swedish",256,112.87644515066214,5,afternoon,0,1,0
Bury Me Standing,Holy Serpent,post-doom metal,,166,133.06945946185866,96,night,1,0,0
Let It Go - Video Edit,Puls,danish pop,,234,99.81030479629877,48,night,0,0,1
Vysocina,"Milan Dufek, Rangers",classic czech pop,,233,121.89569369319618,39,evening,1,0,0
Innerverse,Terminal Storm,c64,,197,149.0839349858743,82,morning,1,0,0
Mi Mou Chtipas Mesanihta Tin Porta,Stamatis Kokotas,laiko,,223,104.99503013091638,64,night,1,0,0
Nieves De Enero,Chalino Sanchez,regional mexican,"nieves de enero, juan cosme, raul",159,109.83382544212722,68,evening,1,1,0
Craware,Brothers of the Occult Sisterhood,drone psych,,246,127.70861774488372,26,morning,0,1,0
How Not To,Dan + Shay,country road,,202,122.69372672909395,79,afternoon,1,0,0
Screwzooo,"E.S.G., Willlean Wiz",dirty texas rap,,189,125.25945148910338,5,morning,0,0,0
Ay-Tete-Fee,Clifton Chenier,new orleans blues,clifton chenier,251,127.33780695221496,12,night,1,0,0
Alma Jarocha,Papaito,cuban rumba,,181,129.52082202842655,63,night,0,1,0
The Merry Thief,Marry A Thief,indie pop rock,,153,136.64549762934334,61,night,0,0,0
Zhi Guai Wo,Maia Lee,singaporean pop,,147,126.14727985392769,98,night,1,0,0
One in a Million,Lolita KompleX,heavy gothic rock,,234,116.38113518072188,18,night,1,1,0
"La Luna, Houston, Texas",El Hombre Misterioso,peruvian rock,,158,130.08860551804096,75,evening,1,1,0
Part II - The Glory: Dallas Rag,Dallas String Band,jug band,,280,148.49822902342822,79,night,0,1,0
The Servant - Original,Northern Comfort,world chill,,126,118.0104938042614,42,evening,1,1,0
"I bambini fanno ""ooh…""",Povia,italian arena pop,,277,105.38206042994038,73,afternoon,1,0,0
Sweet Lullaby,Lala Njava,malagasy folk,double-ender 8,218,136.6062100393046,88,night,0,1,0
Vague à l'ame,La Smala,trap francais,,206,118.19428254069602,19,night,1,1,0
@7/10ths,db pedersen,throat singing,,188,87.40995680978946,94,morning,0,0,0
Carrinho De Mao - Ao Vivo,Terra Samba,pagode,,225,132.7113251572563,67,afternoon,1,0,0
Time We Had,The Mother Hips,jam band,"rock band, rock",208,111.97007721069116,43,night,0,0,0
I've Found a Love (Love Came Down),The Anchor Fellowship,christian uplift,,254,118.6420007654376,22,night,0,1,0
Sent For You Yesterday (Here You Come Today),Jimmy Rushing,jump blues,,214,124.97970495853522,1,afternoon,1,0,1
For You,Kenny Lattimore,neo soul,"slow jams, Love",216,122.857495196686,21,evening,0,1,0
"Welcome to Another World, Here You Are",fantaholic,japanese city pop,,195,130.6417772570856,56,night,1,1,0
Whiskey & Good Time Blues,Big Bill Broonzy,memphis blues,"blues, Classic Blues",207,113.46770444145236,100,morning,1,1,0
Streets Keep Rocking - Harold's Rocking Mix,Harold Heath,deep deep house,,222,127.69658697264124,71,night,0,0,0
Pseudo-Horizon,Wormed,technical death metal,Technical Brutal Death Metal,141,116.10679983624124,6,morning,1,1,0
Promises - Myon & Shane 54 Summer Of Love Radio Edit,"Andain, Myon, Shane 54",progressive trance,,156,131.08215721331254,77,morning,0,0,0
Beatbox,Jack Beats,moombahton,"House, electronic",239,129.2305122601958,55,night,0,0,0
Maker of Smooth Music,The American Song-poem Anthology,song poem,,216,105.96841946933108,66,night,0,0,0
Where Our Shadows Sleep,Sieges Even,neo-progressive,"Progressive rock, Progressive metal",202,136.2897317426255,15,morning,0,1,0
บทเพลงกระซิบ,Abuse The Youth,thai indie,,210,111.96054832328927,82,afternoon,0,1,0
Insight,Melo,deep liquid,"Drum and bass, Drum n Bass",223,132.12086697421717,50,afternoon,0,1,0
Oh When The Saints Go Marching In,Songs For Children,nursery,,188,125.50930970102011,81,night,0,0,0
Mambo ma wase,Jean Pierre Essome,coupe decale,,178,147.57275515192683,79,evening,0,1,0
Another Kind of Danger,Jett Rink,triangle indie,,217,116.6480102644222,71,afternoon,1,1,1
Kanojo No Camera,Shin Rizumu,japanese city pop,,170,114.76024805822703,96,night,1,1,0
Kidney Punch - Original Mix,wAFF,deep disco house,,226,119.708705911684,11,afternoon,0,1,0
"Suite for Violin, Clarinet and Piano, Op. 157b: II. Divertissement - Anime","Darius Milhaud, Ludmila Peterková, Gabriela Demeterová, Marketa Cibulkova",brazilian composition,,141,115.45230325748588,52,evening,1,1,0
Jaan-E-Jaan,Mehnaz,pakistani pop,,251,131.99912852913076,74,night,1,0,0
Hanya Kamu Yang Bisa,Tiket,indonesian pop,,228,95.7553408734512,4,evening,1,0,0
More O's,The Spruce Campbells,columbus ohio indie,,220,104.19476371280469,26,night,1,0,0
Didn't I (Blow Your Mind This Time),The Delfonics,funk,"soul, philly soul",249,103.9829561763121,11,evening,1,0,0
Sunday 3Pm - Kenji Club Remix,Signfield,lounge house,radio-andree,276,134.25461387960362,16,afternoon,1,1,0
Makedonsko Horo,Ibro Lolov,bulgarian folk,,250,145.65920058872888,5,afternoon,0,0,0
Love Divine (Live),Summerhill,classic psychedelic rock,,136,118.43326172193792,96,evening,1,1,0
Thirteen Thirty-Three Seventeen,Race Car Riot,indie emo rock,,158,117.46767415214984,4,evening,1,0,1
I Feel So All Alone,Billy Childers,neo-traditional country,,185,121.05078244669772,56,evening,1,0,0
Forever and a Day,Les Anges de la Nuit,neo-synthpop,,211,137.42817453912286,27,night,1,0,0
Every Time You Go Away,Paul Young,new wave,"80s, pop",230,106.0897029871414,77,afternoon,0,1,0
Color,paniyolo,j-ambient,,180,123.57553474102178,68,night,0,1,0
Penthouse Suites,Wise Blood,shimmer psych,"BIRP, electronic, the most heartless gang banger",217,134.62796444673646,58,afternoon,0,0,0
In Bloom,Nirvana Tribute Band,tribute,,179,127.51641254909768,32,morning,0,1,0
So Fine,Niels Lan Doky,danish jazz,jazz,185,122.84372424898116,61,night,1,0,0
Time Ticking (feat. Bobby Shmurda & Rowdy Rebel),"Juelz Santana, Dave East, Bobby Shmurda, Rowdy Rebel",hardcore hip hop,,153,135.01569138850712,49,afternoon,0,0,0
More Than That I Cannot Say,"George Usher, Lisa Burns",underground power pop,,173,79.45151560501145,18,afternoon,0,0,0
Strange Days,Visible Wind,crossover prog,,155,130.1681297929636,85,night,0,1,0
Campos de algodón,Lavandera,spanish noise pop,,170,110.18886475308864,68,night,0,0,0
Summer Nights In Hollywood,Brian Elliot,deep soft rock,west coast,252,92.54050654715314,65,afternoon,1,0,0
Canción sin estribillo,Juan Perro,flamenco,,172,127.66803899287471,93,night,0,0,0
Filtered - Original Club Mix,"Pete Griffiths, Ant Brooks",funky tech house,,315,140.60487817744436,46,evening,1,1,0
Zwei Finger,Taktlos,german street punk,,229,117.93827228058464,38,night,0,0,0
Always Gonna Want You (North),Stephen Kellogg,acoustic pop,,217,134.2931182080441,67,night,1,1,1
Bottom of the Bottle (feat. August Alsina & Lil Wayne),"Curren$y, Lil Wayne, August Alsina",pop rap,,175,144.1841738698297,32,night,1,0,0
Lord of War,"Derdian, Fabio Lione",power metal,,238,139.7237168037607,12,afternoon,0,1,0
Nueva York,Fuego 77,salsa international,,186,144.5994679405709,83,evening,0,0,0
Stick Stickly,Attack Attack!,screamo,"crabcore, post-hardcore",214,131.13191236607838,53,morning,0,0,0
Spaceship,Comet Blue,tropical house,,312,121.13150458352388,6,morning,0,1,0
Steal My Heart,Redeye Empire,reggae rock,alternative,206,95.97051282154248,78,evening,1,1,0
Uuliin Tumur (Tumur vom Berg),"Hosoo, TransMongolia",throat singing,,255,116.30906267805076,86,evening,1,0,1
Volatile,Christopher Norman,indie psych-pop,,181,107.35130107025712,13,evening,0,1,0
"Hey, Boy!",Bill Floyd,rhythm and boogie,,208,152.56414076246722,86,afternoon,0,0,0
The Time of My Life,David Cook,pop rock,"rock, david cook",280,117.36171281351496,18,morning,1,0,0
If I ever feel better,Phoenix,new rave,"indie, electronic",184,121.84807210176729,53,evening,0,0,0
Vida Bela,"Primeiramente, DJ Fire",brazilian hip hop,,282,128.27228064060702,92,afternoon,1,1,0
Budapest,"Tamás Cseh, János Másik",magyar,,238,120.6540366955868,19,morning,0,0,0
Danny Boy,Marc Gunn & the Dubliners' Tabby Cats,geek folk,,187,145.4257656064613,28,night,1,1,0
4am,The Fauns,indie dream pop,"telling times, indie, 2014 single, 2014, 10s",235,110.66025957398324,23,afternoon,1,0,0
Chocolate Ice Cream,Eddie Palmieri and Friends,latin jazz,"jazz master, latin jazz, free jazz, fip",248,122.91911182855864,81,morning,1,1,0
Sun Is Alive,Tribes of the city,indie shoegaze,,234,108.86294121452929,62,afternoon,1,1,0
Forgotten Souls,Dave Sharman,metal guitar,"guitar virtuoso, Virtuoso",147,100.1996623316894,73,morning,1,0,0
Oh La La La,2 Eivissa,hip house,"dance, House",180,110.82346363642073,56,morning,0,1,0
Sunset Di Tanah Anarki,Superman Is Dead,indonesian pop,,200,119.44444804427384,7,night,1,0,0
Red,Laura Welsh,vapor pop,,207,113.5604666322411,89,afternoon,0,0,0
Jenny,Nothing More,rap metal,"rock, Progressive rock, Dallas Stars",234,109.61368530189216,61,evening,1,0,0
Oak Tree,Alien Fashion Show,traditional swing,"swing, Surf, swing revival",217,98.9052380449225,28,night,1,0,0
Be Bop Baby,Autry Inman,vintage rockabilly,"rockabilly, 50s",156,118.7534164105696,73,night,0,0,0
Open Up Your Heart,Chuck Prophet,alternative country,,225,97.42919438953496,16,morning,0,1,0
Damaged,Danity Kane,hip pop,"pop, rnb",234,131.40083945534403,65,evening,0,0,0
